City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,66.61,light rain,-46.1927,168.8643,Ellie's Villa
1,Pombas,CV,69.58,few clouds,17.1503,-25.0201,Paul Paradis
2,Bluff,NZ,62.94,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Sur,OM,79.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
5,Busselton,AU,61.12,clear sky,-33.65,115.3333,Observatory Guest House
6,Tuatapere,NZ,66.69,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
7,Rikitea,PF,78.24,broken clouds,-23.1203,-134.9692,People ThankYou
9,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
11,Kushima,JP,64.51,clear sky,31.4583,131.2333,Hanaoka
12,San Policarpo,PH,81.93,light rain,12.1791,125.5072,Agapita M. Nicart
13,Port Alfred,ZA,62.87,clear sky,-33.5906,26.891,The Halyards Hotel
14,Tabas,IR,76.71,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
15,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
16,Lorengau,PG,82.94,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Atuona,PF,79.95,clear sky,-9.8,-139.0333,Villa Enata
20,Ormara,PK,77.61,clear sky,25.2088,64.6357,Kenara Colony house for Rent
24,Hilo,US,76.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
26,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Livingstone,ZM,65.57,overcast clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
29,Plaridel,PH,76.98,light rain,14.8872,120.8572,St. Agatha Resort
31,Dalhousie,IN,52.43,broken clouds,32.5333,75.9833,Hotel Mount View
34,Hobart,AU,62.02,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,San Patricio,US,80.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Shimoda,JP,59.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
37,Lebu,CL,55.24,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
40,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
42,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
45,Jawhar,SO,77.38,few clouds,2.7809,45.5005,hantiwadaag village part one
46,Victoria,HK,71.26,few clouds,22.2855,114.1577,Mini Hotel Central
48,Angoche,MZ,76.26,clear sky,-16.2325,39.9086,Guest House HESADA
49,Catia La Mar,VE,80.8,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
51,Coahuayana,MX,72.28,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
53,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
55,Margate,GB,53.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
57,Naze,JP,65.32,clear sky,28.3667,129.4833,Shishime Hotel
60,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
62,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Neon Karlovasion,GR,61.92,overcast clouds,37.7903,26.7044,Hotel Aegeon
66,Ocampo,MX,70.23,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
71,Ribeira Grande,PT,60.22,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
72,Hervey Bay,AU,79.79,clear sky,-25.2986,152.8535,Shelly Bay Resort
74,Bethel,US,50.54,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
75,Butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Gedo,ET,55.63,few clouds,9.0167,37.45,Mida Qanyi
77,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
78,Castro,BR,63.79,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
80,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
81,Hithadhoo,MV,82.67,clear sky,-0.6,73.0833,Scoop Guest House
82,Ambositra,MG,56.62,clear sky,-20.5167,47.25,Grand Hôtel
83,Torres,BR,71.83,overcast clouds,-29.3353,-49.7269,Farol Hotel
85,Sinnamary,GF,77.7,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
86,Lagoa,PT,59.09,few clouds,39.05,-27.9833,Casa Das Faias
88,Marica,BR,78.75,clear sky,-22.9194,-42.8186,Marica Hills
94,Westport,US,51.8,few clouds,41.1415,-73.3579,The Inn at Longshore
