City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,66.61,60,100,2.75,light rain
1,Pombas,CV,17.1503,-25.0201,69.58,69,11,10.31,few clouds
2,Bluff,NZ,-46.6,168.3333,62.94,76,100,8.08,overcast clouds
3,Sur,OM,22.5667,59.5289,79.57,51,0,12.62,clear sky
4,Jamestown,US,42.097,-79.2353,42.44,50,100,5.75,overcast clouds
5,Busselton,AU,-33.65,115.3333,61.12,60,0,9.82,clear sky
6,Tuatapere,NZ,-46.1333,167.6833,66.69,69,100,5.77,light rain
7,Rikitea,PF,-23.1203,-134.9692,78.24,64,69,11.56,broken clouds
8,Roald,NO,62.5833,6.1333,32.32,93,75,4.61,snow
9,Maceio,BR,-9.6658,-35.7353,76.44,88,20,2.3,few clouds
10,Ushuaia,AR,-54.8,-68.3,37.06,70,40,18.41,scattered clouds
11,Kushima,JP,31.4583,131.2333,64.51,48,1,1.72,clear sky
12,San Policarpo,PH,12.1791,125.5072,81.93,86,86,15.57,light rain
13,Port Alfred,ZA,-33.5906,26.891,62.87,81,0,9.57,clear sky
14,Tabas,IR,33.5959,56.9244,76.71,11,89,2.75,overcast clouds
15,Morant Bay,JM,17.8815,-76.4093,80.22,83,50,8.43,scattered clouds
16,Lorengau,PG,-2.0226,147.2712,82.94,78,100,14.97,heavy intensity rain
17,Atuona,PF,-9.8,-139.0333,79.95,72,8,22.01,clear sky
18,Aripuana,BR,-9.1667,-60.6333,73.85,98,100,1.23,overcast clouds
19,Torbay,CA,47.6666,-52.7314,37.76,95,100,17.27,moderate rain
20,Ormara,PK,25.2088,64.6357,77.61,76,0,10.11,clear sky
21,Cherskiy,RU,68.75,161.3,-2.54,84,35,2.91,scattered clouds
22,Chokurdakh,RU,70.6333,147.9167,-7.64,94,19,9.24,few clouds
23,Haljala,EE,59.4336,26.2614,33.48,97,100,17.49,light snow
24,Hilo,US,19.7297,-155.09,76.24,82,75,1.99,broken clouds
25,Kahului,US,20.8947,-156.47,82.42,63,40,24.16,scattered clouds
26,Hermanus,ZA,-34.4187,19.2345,60.8,81,4,11.74,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,19.57,light intensity shower rain
28,Livingstone,ZM,-17.8419,25.8543,65.57,93,96,1.45,overcast clouds
29,Plaridel,PH,14.8872,120.8572,76.98,62,97,13.58,light rain
30,Thompson,CA,55.7435,-97.8558,41.16,42,0,5.75,clear sky
31,Dalhousie,IN,32.5333,75.9833,52.43,28,68,9.73,broken clouds
32,Yellowknife,CA,62.456,-114.3525,41.52,52,40,10.36,scattered clouds
33,Tiksi,RU,71.6872,128.8694,-4.52,99,100,4.5,overcast clouds
34,Hobart,AU,-42.8794,147.3294,62.02,64,75,12.66,broken clouds
35,San Patricio,US,28.017,-97.5169,80.69,80,14,12.19,few clouds
36,Shimoda,JP,34.6667,138.95,59.11,66,32,12.82,scattered clouds
37,Lebu,CL,-37.6167,-73.65,55.24,80,93,15.66,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,15.96,90,93,8.77,overcast clouds
39,Severnyy-Kospashskiy,RU,59.0925,57.8008,31.15,92,100,9.24,overcast clouds
40,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,6.91,broken clouds
41,Provideniya,RU,64.3833,-173.3,12.36,62,0,27.0,clear sky
42,Kapaa,US,22.0752,-159.319,80.58,74,20,14.97,few clouds
43,Padang,ID,-0.9492,100.3543,75.25,70,18,2.44,few clouds
44,Drumnadrochit,GB,57.3344,-4.4799,38.89,99,100,4.21,light rain
45,Jawhar,SO,2.7809,45.5005,77.38,83,14,5.48,few clouds
46,Victoria,HK,22.2855,114.1577,71.26,60,17,3.0,few clouds
47,Juneau,US,58.3019,-134.4197,46.4,100,40,11.5,scattered clouds
48,Angoche,MZ,-16.2325,39.9086,76.26,78,1,4.88,clear sky
49,Catia La Mar,VE,10.6038,-67.0303,80.8,78,40,3.44,scattered clouds
50,Barrow,US,71.2906,-156.7887,-5.78,71,100,16.11,light snow
51,Coahuayana,MX,18.7333,-103.6833,72.28,77,22,4.36,few clouds
52,Vardo,NO,70.3705,31.1107,28.56,61,99,19.04,light snow
53,Puerto Ayora,EC,-0.7393,-90.3518,76.55,95,33,6.91,scattered clouds
54,Saint George,US,37.1041,-113.5841,79.63,13,0,16.11,clear sky
55,Margate,GB,51.3813,1.3862,53.31,79,100,7.0,overcast clouds
56,Kodiak,US,57.79,-152.4072,40.51,56,100,12.66,overcast clouds
57,Naze,JP,28.3667,129.4833,65.32,49,6,5.73,clear sky
58,Raudeberg,NO,61.9875,5.1352,31.87,92,100,8.46,light snow
59,Husavik,IS,66.0449,-17.3389,22.68,92,100,6.42,light snow
60,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,87,0,10.36,clear sky
61,Nanortalik,GL,60.1432,-45.2371,33.75,80,100,4.03,overcast clouds
62,Vaini,TO,-21.2,-175.2,80.76,78,75,10.36,broken clouds
63,Neon Karlovasion,GR,37.7903,26.7044,61.92,58,100,6.38,overcast clouds
64,Ippy,CF,6.2679,21.2247,71.11,86,98,3.69,overcast clouds
65,Nikolskoye,RU,59.7035,30.7861,33.8,97,100,12.48,overcast clouds
66,Ocampo,MX,21.65,-101.5,70.23,13,0,15.32,clear sky
67,Spirovo,RU,57.419,34.9766,25.74,91,42,9.13,scattered clouds
68,Ostrovnoy,RU,68.0531,39.5131,13.35,93,100,10.33,overcast clouds
69,Saskylakh,RU,71.9167,114.0833,-5.08,96,97,8.14,overcast clouds
70,Nome,US,64.5011,-165.4064,19.47,45,0,9.22,clear sky
71,Ribeira Grande,PT,38.5167,-28.7,60.22,74,26,7.31,scattered clouds
72,Hervey Bay,AU,-25.2986,152.8535,79.79,58,0,11.18,clear sky
73,Pevek,RU,69.7008,170.3133,-8.88,92,69,3.89,broken clouds
74,Bethel,US,41.3712,-73.414,50.54,66,100,4.43,overcast clouds
75,Butaritari,KI,3.0707,172.7902,81.93,80,31,15.88,light rain
76,Gedo,ET,9.0167,37.45,55.63,64,13,0.94,few clouds
77,Carnarvon,AU,-24.8667,113.6333,73.47,83,0,14.97,clear sky
78,Castro,BR,-24.7911,-50.0119,63.79,97,100,2.59,overcast clouds
79,Barra Patuca,HN,15.8,-84.2833,80.62,77,5,18.1,clear sky
80,Puri,IN,19.8,85.85,81.12,85,100,15.68,overcast clouds
